episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_jerk
124,1,success,75,18.7829806804657,31.694548029826365,0.984177827835083,14.61979866027832,0.4612717192408064,1.0,0.2942328453063965
125,1,collision,39,9.756490707397461,47.94761525077092,0.8855413198471069,15.724407196044922,0.0,1.0,1.1950628757476807
126,7,success,84,21.04412341117859,45.92068275809288,2.6362550258636475,20.780309677124023,0.4525261478927332,1.0,0.3365327715873718
127,9,success,36,9.008834838867188,52.829083636403084,12.358529090881348,9.231090545654297,0.1747350116687128,1.0,1.3489478826522827
128,5,collision,34,8.517749786376953,15.801491692662239,4.061713695526123,20.113676071166992,0.0,1.0,0.2969323694705963
129,11,success,28,7.012134313583374,42.75160104036331,10.931966781616211,7.264186382293701,0.16991612490571578,1.0,1.4662765264511108
130,11,success,32,8.022924184799194,14.920761495828629,37.33007049560547,7.264186382293701,0.48685091470194314,1.0,0.30455338954925537
131,1,success,66,16.52344584465027,46.48106452822685,0.6312386393547058,15.503520011901855,0.3335448567983406,1.0,0.5163978338241577
132,9,success,43,10.759681224822998,54.15013067424297,12.234127044677734,10.647065162658691,0.19662122750376057,1.0,1.117118239402771
133,5,collision,133,33.29928135871887,47.3068898843062,4.427628993988037,20.113676071166992,0.0,1.0,0.3072062134742737
134,7,success,98,24.527718782424927,48.943810537457466,2.3247227668762207,24.423603057861328,0.4990131089031076,1.0,0.27499380707740784
135,11,success,28,6.992904901504517,42.733535930514336,10.931966781616211,7.264186382293701,0.16998795498938882,1.0,1.4651354551315308
136,4,success,76,19.00965666770935,56.3874146938324,1.1222972869873047,18.227453231811523,0.32325392697610633,1.0,0.5408918857574463
137,7,success,83,20.775424003601074,63.094362646341324,1.8329180479049683,20.601032257080078,0.326511456697862,1.0,0.5507264733314514
138,5,collision,17,4.238724708557129,51.86558121442795,3.343597173690796,20.113676071166992,0.0,1.0,3.485029935836792
139,11,success,30,7.493180751800537,42.871322482824326,10.931966781616211,7.264186382293701,0.16944162114905542,1.0,1.379095196723938
140,8,collision,16,3.9897377490997314,95.45147371292114,1.5468077659606934,17.246936798095703,0.0,1.0,7.092275142669678
141,5,collision,20,4.99082350730896,43.90019255876541,3.5470809936523438,20.113676071166992,0.0,1.0,2.3929636478424072
142,5,collision,31,7.74489164352417,66.964160323143,4.14687442779541,20.113676071166992,0.0,1.0,2.1587905883789062
143,5,timeout,201,53.08926773071289,68.02862088658958,4.405576229095459,20.113676071166992,0.0,1.0,0.3621227741241455
144,11,collision,15,3.752687692642212,32.60614962875843,2.832136869430542,7.264186382293701,0.0,1.0,2.4249887466430664
